title,artist,danceability,energy,db,valence,bpm
What I've Done,Linkin Park,0.623,0.93,-5.285,0.287,120.119
Last Night,Keyshia Cole,0.918,0.857,-5.032,0.972,121.006
Kiss Kiss (feat. T-Pain),Chris Brown,0.729,0.658,-3.386,0.551,140.043
Party Like A Rock Star,Shop Boyz,0.619,0.709,-4.633,0.68,144.972
Paralyzer,Finger Eleven,0.644,0.939,-3.486,0.861,106.031
Summer Love,Justin Timberlake,0.606,0.591,-7.228,0.477,95.802
This Is Why I'm Hot,MiMS,0.621,0.6,-6.349,0.485,80.021
Make Me Better,Fabolous,0.607,0.599,-6.886,0.562,86.491
Fake It,Seether,0.611,0.95,-3.509,0.607,132.078
Patience,Take That,0.309,0.783,-4.154,0.372,175.788
Brianstorm,Arctic Monkeys,0.42,0.974,-4.706,0.463,165.182
My Love (feat. T.I.),Justin Timberlake,0.771,0.68,-5.881,0.808,119.952
Glamorous,Fergie,0.811,0.757,-6.447,0.565,130.993
Bleed It Out,Linkin Park,0.529,0.967,-3.647,0.596,140.127
Teenagers,My Chemical Romance,0.463,0.857,-3.063,0.856,111.647
Acceptable in the 80's,Calvin Harris,0.787,0.808,-5.454,0.942,127.99
About You Now,Sugababes,0.584,0.699,-6.065,0.585,82.499
Girlfriend,Avril Lavigne,0.56,0.959,-2.433,0.669,163.983
Because Of You,Ne-Yo,0.81,0.538,-5.784,0.828,109.97
It's Not Over,Daughtry,0.45,0.921,-3.476,0.413,145.959
Walk It Out,Unk,0.794,0.777,-3.696,0.706,160.022
You,Lloyd,0.412,0.876,-6.008,0.703,130.159
Golden Skans,Klaxons,0.463,0.836,-2.776,0.713,141.955
Bartender (feat. Akon),T-Pain,0.675,0.394,-8.539,0.405,104.987
The Way I Live - Main Explicit,Baby Boy Da Prince,0.88,0.438,-7.562,0.714,90.02
Fergalicious,Fergie,0.906,0.584,-7.72,0.831,129.055
Ice Box,Omarion,0.775,0.731,-5.446,0.821,131.105
On the Hotline - Amended Version,Pretty Ricky,0.704,0.854,-5.477,0.688,92.988
Rockstar,Nickelback,0.616,0.91,-3.004,0.693,144.072
Thnks fr th Mmrs,Fall Out Boy,0.459,0.891,-5.057,0.588,154.837
LoveStoned / I Think She Knows (Interlude),Justin Timberlake,0.859,0.681,-6.247,0.852,121.243
"Dear Maria, Count Me In",All Time Low,0.459,0.895,-3.126,0.572,181.04
Back To Black,Amy Winehouse,0.403,0.422,-13.964,0.378,122.728
Let It Go,Keyshia Cole,0.808,0.721,-5.165,0.773,94.955
Promise,Ciara,0.697,0.629,-5.757,0.439,123.279
Do You Know? (The Ping Pong Song),Enrique Iglesias,0.753,0.759,-4.829,0.706,114.999
Heartbroken - Edit,T2,0.716,0.757,-5.438,0.877,139.986
With Every Heartbeat,Robyn,0.477,0.865,-4.462,0.413,120.872
Makes Me Wonder,Maroon 5,0.803,0.851,-2.429,0.881,113.996
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,0.435,0.887,-4.07,0.408,199.935
Misery Business,Paramore,0.517,0.906,-3.677,0.731,172.977
Better Than Me,Hinder,0.451,0.682,-5.295,0.254,139.913
"Pop, Lock & Drop It - Video Edit",Huey,0.723,0.644,-6.863,0.645,144.09
The Pretender,Foo Fighters,0.433,0.959,-4.04,0.365,172.984
Shawty (feat. T Pain),Plies,0.444,0.708,-5.926,0.26,105.412
Ruby,Kaiser Chiefs,0.451,0.939,-2.82,0.448,93.416
Stop Me (feat. Daniel Merriweather),Mark Ronson,0.626,0.906,-4.334,0.346,118.035
Outta My System (feat. T-Pain & Johntá Austin),Bow Wow,0.772,0.59,-6.957,0.743,83.998
We Fly High,Jim Jones,0.685,0.8,-6.564,0.483,120.226
Face Down,The Red Jumpsuit Apparatus,0.545,0.932,-2.189,0.464,92.956
Grace Kelly,MIKA,0.675,0.828,-5.799,0.669,122.229
Candyman,Christina Aguilera,0.686,0.789,-4.713,0.72,172.976
Beautiful Girls,Sean Kingston,0.762,0.661,-6.075,0.769,130.009
Don't Matter,Akon,0.801,0.454,-6.035,0.34,125.139
1973,James Blunt,0.72,0.668,-7.928,0.768,123.007
Before He Cheats,Carrie Underwood,0.519,0.749,-3.318,0.29,147.905
Starz In Their Eyes,Just Jack,0.67,0.8,-6.731,0.656,123.802
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,0.451,0.55,-8.137,0.594,80.001
I Tried,Bone Thugs-N-Harmony,0.727,0.71,-6.142,0.378,81.995
When You're Gone,Avril Lavigne,0.457,0.719,-3.921,0.168,142.034
Throw Some D's,Rich Boy,0.697,0.86,-5.181,0.433,160.895
Love Today,MIKA,0.673,0.913,-4.981,0.587,124.484
Your Love Alone Is Not Enough (feat. Nina Persson),Manic Street Preachers,0.344,0.921,-3.049,0.396,126.766
Wait for You,Elliott Yamin,0.764,0.487,-6.734,0.352,116.027
"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",Wyclef Jean,0.733,0.744,-3.51,0.529,92.515
The Great Escape,Boys Like Girls,0.423,0.94,-4.012,0.505,149.934
Rule The World - Radio Edit,Take That,0.357,0.774,-4.226,0.348,164.054
Bed,J. Holiday,0.684,0.606,-7.268,0.723,127.901
Snow (Hey Oh),Red Hot Chili Peppers,0.427,0.9,-3.674,0.599,104.655
Runaway Love,Ludacris,0.405,0.721,-6.97,0.815,92.854
Low (feat. T-Pain),Flo Rida,0.918,0.609,-5.64,0.304,128.008
I Kissed A Girl,Katy Perry,0.699,0.76,-3.173,0.696,129.996
Take A Bow,Rihanna,0.697,0.467,-7.536,0.572,82.082
No One,Alicia Keys,0.644,0.549,-5.415,0.167,90.04
Apologize,Timbaland,0.653,0.604,-6.017,0.101,118.016
Miss Independent,Ne-Yo,0.668,0.673,-5.714,0.727,171.812
With You,Chris Brown,0.662,0.693,-4.298,0.655,86.009
If I Were a Boy,Beyoncé,0.632,0.518,-6.126,0.427,90.007
Dangerous,Kardinal Offishall,0.949,0.79,-5.957,0.807,117.002
Beggin (original version),Madcon,0.715,0.8,-5.144,0.445,129.023
Cry for You,September,0.767,0.881,-3.988,0.961,130.018
Disturbia,Rihanna,0.707,0.813,-4.515,0.722,124.921
Infinity 2008,Guru Josh Project,0.493,0.849,-6.139,0.483,127.999
Break the Ice,Britney Spears,0.712,0.911,-3.866,0.85,117.533
Lollipop,Lil Wayne,0.829,0.428,-9.469,0.45,148.075
Now You're Gone - Video Edit,Basshunter,0.639,0.976,-5.503,0.354,147.99
Flashing Lights,Kanye West,0.639,0.628,-7.578,0.43,90.482
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,0.753,0.931,-4.922,0.767,113.029
Hot N Cold,Katy Perry,0.706,0.841,-3.956,0.861,132.032
Don't Stop The Music,Rihanna,0.835,0.669,-5.582,0.542,122.668
Sensual Seduction,Snoop Dogg,0.756,0.829,-3.973,0.504,120.163
Right Now (Na Na Na),Akon,0.83,0.857,-4.194,0.607,137.982
Womanizer,Britney Spears,0.724,0.695,-5.226,0.235,139.0
Pjanoo - Radio Edit,Eric Prydz,0.605,0.874,-4.949,0.836,125.99
Work,Kelly Rowland,0.888,0.823,-6.351,0.623,102.757
Put On,Jeezy,0.654,0.77,-6.091,0.272,137.616
Give It 2 Me,Madonna,0.837,0.954,-3.512,0.972,127.019
When I Grow Up,The Pussycat Dolls,0.671,0.685,-5.762,0.368,118.449
Heartbreaker,will.i.am,0.788,0.549,-8.793,0.449,120.051
Crank That (Soulja Boy),Soulja Boy,0.736,0.74,-2.18,0.803,140.141
Piece of Me,Britney Spears,0.769,0.638,-5.054,0.782,115.007
Live Your Life,T.I.,0.375,0.862,-3.363,0.478,159.841
Closer,Ne-Yo,0.709,0.745,-6.437,0.576,126.027
A Milli,Lil Wayne,0.674,0.695,-8.636,0.773,151.486
What You Got,Colby O'Donis,0.775,0.641,-6.718,0.305,119.974
See You Again,Miley Cyrus,0.692,0.911,-5.098,0.801,138.975
All I Ever Wanted - Radio Edit,Basshunter,0.645,0.984,-7.051,0.553,144.954
Kiss Kiss (feat. T-Pain),Chris Brown,0.729,0.658,-3.386,0.551,140.043
Paralyzer,Finger Eleven,0.644,0.939,-3.486,0.861,106.031
The Boy Does Nothing,Alesha Dixon,0.632,0.972,-2.423,0.845,87.0
Dance Wiv Me - Radio Edit,Dizzee Rascal,0.878,0.746,-4.281,0.792,111.996
Sweet About Me,Gabriella Cilmi,0.671,0.701,-5.035,0.585,131.977
Another Way to Die,Jack White,0.486,0.765,-4.23,0.386,141.933
Hypnotized (feat. Akon),Plies,0.84,0.571,-7.421,0.617,116.59
I Hate This Part,The Pussycat Dolls,0.756,0.612,-4.371,0.452,111.572
Take You There,Sean Kingston,0.752,0.921,-4.321,0.634,115.033
Pocketful of Sunshine,Natasha Bedingfield,0.726,0.881,-3.892,0.682,110.019
"You're Gonna Go Far, Kid",The Offspring,0.55,0.917,-3.159,0.601,126.115
Homecoming,Kanye West,0.667,0.747,-7.059,0.918,86.917
American Boy,Estelle,0.727,0.729,-2.99,0.512,117.932
Addicted,Saving Abel,0.512,0.864,-4.146,0.527,138.018
Propane Nightmares,Pendulum,0.356,0.966,-4.13,0.215,173.992
My Life,The Game,0.673,0.766,-5.018,0.382,148.113
Damaged,Danity Kane,0.774,0.653,-5.158,0.818,120.01
So What,P!nk,0.534,0.87,-3.078,0.462,126.019
Love Lockdown,Kanye West,0.76,0.524,-7.67,0.112,119.603
Cookie Jar (feat. The-Dream),Gym Class Heroes,0.687,0.668,-4.061,0.418,113.053
Paper Planes,M.I.A.,0.447,0.848,-6.175,0.485,172.247
It's Not My Time,3 Doors Down,0.529,0.934,-4.808,0.282,127.962
Wow,Kylie Minogue,0.654,0.884,-5.466,0.851,124.072
Touch My Body,Mariah Carey,0.715,0.665,-7.736,0.84,78.502
Kids,MGMT,0.451,0.931,-3.871,0.172,122.961
Shut Up and Let Me Go,The Ting Tings,0.852,0.927,-4.497,0.887,107.993
Got Money,Lil Wayne,0.694,0.661,-4.847,0.702,82.48
Into the Night (feat. Chad Kroeger),Santana,0.595,0.844,-4.678,0.603,127.981
I Luv Your Girl,The-Dream,0.723,0.322,-9.702,0.0406,90.063
Wearing My Rolex - Radio Edit,Wiley,0.876,0.716,-6.884,0.755,131.942
Love in This Club (feat. Young Jeezy),Usher,0.573,0.712,-5.976,0.346,140.012
Black & Gold - Radio Edit,Sam Sparro,0.383,0.703,-5.65,0.42,135.968
What's It Gonna Be (feat. Platnum),"H ""two"" O",0.733,0.9,-4.758,0.937,139.61
That's Not My Name,The Ting Tings,0.755,0.901,-3.152,0.959,145.042
"Bust It Baby, Pt. 2 (feat. Ne-Yo)",Plies,0.648,0.801,-7.24,0.807,78.946
Broken Strings,James Morrison,0.57,0.717,-4.914,0.321,111.91
Run,Leona Lewis,0.285,0.462,-6.166,0.0923,142.365
Shake It,Metro Station,0.618,0.955,-3.836,0.79,150.034
Whatever You Like,T.I.,0.68,0.687,-6.162,0.467,150.053
Can't Help but Wait,Trey Songz,0.699,0.699,-5.564,0.611,94.977
Stop And Stare,OneRepublic,0.492,0.859,-4.274,0.251,92.474
Hallelujah,Alexandra Burke,0.177,0.425,-6.211,0.0942,182.571
Just Fine,Mary J. Blige,0.923,0.795,-3.61,0.588,123.021
One Step At a Time,Jordin Sparks,0.766,0.692,-4.672,0.691,102.028
Viva La Vida,Coldplay,0.486,0.617,-7.115,0.417,138.015
Sex on Fire,Kings of Leon,0.542,0.905,-5.653,0.374,153.398
Good Life,Kanye West,0.439,0.808,-6.881,0.487,82.962
Mercy,Duffy,0.793,0.859,-3.774,0.964,129.911
Crush,David Archuleta,0.57,0.664,-4.718,0.487,162.084
Suffocate - Superclean,J. Holiday,0.458,0.445,-8.391,0.447,82.82
In Love With a Girl,Gavin DeGraw,0.438,0.906,-4.8,0.684,161.905
Tattoo,Jordin Sparks,0.566,0.766,-5.036,0.547,168.005
Violet Hill,Coldplay,0.33,0.58,-7.875,0.11,76.093
Sexy Can I feat. Yung Berg,Ray J,0.575,0.684,-6.007,0.926,172.155
Spotlight,Jennifer Hudson,0.707,0.724,-3.887,0.659,108.984
Green Light (feat. André 3000),John Legend,0.622,0.882,-5.59,0.762,77.506
Burnin' Up,Jonas Brothers,0.667,0.954,-3.462,0.807,114.03
Superstar (feat. Matthew Santos),Lupe Fiasco,0.572,0.822,-6.015,0.472,94.812
Forever,Chris Brown,0.672,0.82,-4.456,0.438,120.005
Chasing Pavements,Adele,0.614,0.47,-6.09,0.329,80.045
Better in Time,Leona Lewis,0.584,0.7,-4.251,0.549,163.953
Clumsy,Fergie,0.731,0.563,-4.046,0.452,184.009
Can't Believe It (feat. Lil' Wayne),T-Pain,0.648,0.516,-8.869,0.0756,89.828
I Gotta Feeling,Black Eyed Peas,0.743,0.766,-6.375,0.61,127.96
Poker Face,Lady Gaga,0.851,0.806,-4.62,0.787,118.999
Halo,Beyoncé,0.508,0.72,-5.908,0.472,79.983
Sexy Bitch (feat. Akon),David Guetta,0.813,0.627,-5.018,0.801,130.011
Right Round,Flo Rida,0.72,0.672,-6.852,0.705,124.986
Love Story,Taylor Swift,0.617,0.741,-3.97,0.306,118.984
Hotel Room Service,Pitbull,0.849,0.599,-8.164,0.761,126.003
Circus,Britney Spears,0.791,0.733,-5.215,0.761,114.98
LoveGame,Lady Gaga,0.894,0.678,-5.611,0.844,105.024
Monster,Skillet,0.64,0.957,-2.336,0.692,134.992
Omen,The Prodigy,0.545,0.953,-5.172,0.558,140.002
Meet Me Halfway,Black Eyed Peas,0.798,0.629,-6.857,0.4,130.0
Heartless,Kanye West,0.79,0.647,-5.983,0.654,87.999
Day 'N' Nite (Nightmare),Kid Cudi,0.88,0.443,-6.359,0.803,138.018
Just Dance,Lady Gaga,0.822,0.739,-4.541,0.745,118.992
If U Seek Amy,Britney Spears,0.717,0.587,-7.296,0.544,129.954
I Know You Want Me (Calle Ocho),Pitbull,0.825,0.743,-5.995,0.8,127.045
Obsessed,Mariah Carey,0.742,0.468,-5.557,0.369,86.443
Sweet Dreams,Beyoncé,0.694,0.825,-5.986,0.788,121.949
Release Me,Agnes,0.621,0.923,-3.124,0.716,127.973
Boom Boom Pow,Black Eyed Peas,0.867,0.857,-5.892,0.402,130.048
She Wolf,Shakira,0.865,0.69,-7.448,0.867,121.983
Paparazzi,Lady Gaga,0.762,0.692,-3.973,0.397,114.906
Empire State Of Mind,JAY-Z,0.491,0.956,-1.538,0.811,173.585
All The Right Moves,OneRepublic,0.529,0.948,-3.527,0.65,146.024
Birthday Sex,Jeremih,0.677,0.523,-5.603,0.446,60.019
Evacuate The Dancefloor,Cascada,0.762,0.702,-5.87,0.898,127.029
New Divide,Linkin Park,0.493,0.808,-3.365,0.38,117.971
Let It Rock,Kevin Rudolf,0.607,0.783,-4.41,0.434,113.172
Run This Town,JAY-Z,0.632,0.924,-1.802,0.441,86.844
Bad Romance,Lady Gaga,0.696,0.921,-3.755,0.714,119.001
Live Your Life,T.I.,0.375,0.862,-3.363,0.478,159.841
We Made You,Eminem,0.924,0.853,-1.203,0.67,114.003
Bonkers,Dizzee Rascal,0.624,0.977,-3.34,0.74,126.127
Love Sex Magic (feat. Justin Timberlake),Ciara,0.893,0.666,-5.089,0.874,107.011
Russian Roulette,Rihanna,0.48,0.486,-5.754,0.265,80.051
Turn My Swag On,Soulja Boy,0.546,0.712,-3.104,0.489,150.154
Intro,The xx,0.617,0.778,-8.871,0.152,100.363
Down,Jay Sean,0.657,0.695,-4.493,0.683,65.997
Turnin Me On - Original Dirty,Keri Hilson,0.661,0.584,-5.09,0.0949,159.873
When Love Takes Over (feat. Kelly Rowland),David Guetta,0.675,0.862,-4.614,0.498,129.967
Fight For This Love,Cheryl,0.739,0.741,-5.873,0.727,122.988
Kiss Me Thru The Phone,Soulja Boy,0.758,0.712,-3.781,0.795,149.998
Crack A Bottle,Eminem,0.516,0.874,-2.571,0.391,169.561
Sober,P!nk,0.614,0.792,-4.907,0.407,91.066
Number 1,Tinchy Stryder,0.581,0.824,-3.912,0.747,114.912
"Mama Do (Uh Oh, Uh Oh)",Pixie Lott,0.451,0.873,-4.711,0.589,119.918
Beat Again - Radio Edit,JLS,0.894,0.93,-4.577,0.968,120.02
DONTTRUSTME,3OH!3,0.791,0.713,-3.742,0.514,130.012
Jai Ho! (You Are My Destiny),A.R. Rahman,0.657,0.941,-3.919,0.879,136.202
I Hate This Part,The Pussycat Dolls,0.756,0.612,-4.371,0.452,111.572
Beautiful,Akon,0.74,0.945,-4.442,0.629,130.015
Bad Boys (feat. Flo Rida),Alexandra Burke,0.67,0.866,-3.684,0.636,140.029
Break Up,Mario,0.44,0.517,-7.355,0.475,73.881
Forever,Drake,0.457,0.906,-2.278,0.54,104.02
Naturally,Selena Gomez & The Scene,0.605,0.902,-5.406,0.875,132.612
Love Lockdown,Kanye West,0.76,0.524,-7.67,0.112,119.603
Untouched,The Veronicas,0.557,0.783,-4.893,0.442,177.008
Throw It In The Bag,Fabolous,0.789,0.55,-7.423,0.696,172.049
Whatcha Say,Jason Derulo,0.615,0.711,-5.507,0.711,144.036
Not Fair,Lily Allen,0.719,0.861,-6.982,0.948,121.491
Dead And Gone,T.I.,0.713,0.746,-4.99,0.47,135.021
Fire Burning,Sean Kingston,0.839,0.804,-2.513,0.888,122.973
Walking On A Dream,Empire of the Sun,0.871,0.701,-5.594,0.716,126.975
Good Girls Go Bad (feat. Leighton Meester),Cobra Starship,0.594,0.874,-3.716,0.628,119.964
If Today Was Your Last Day,Nickelback,0.485,0.911,-5.749,0.568,89.956
Bulletproof,La Roux,0.674,0.882,-2.771,0.682,123.016
Fire,Kasabian,0.525,0.742,-5.643,0.179,117.029
I'm Not Alone - Radio Edit,Calvin Harris,0.597,0.684,-6.614,0.435,130.99
One Time,Justin Bieber,0.691,0.853,-2.528,0.762,145.999
Blame It,Jamie Foxx,0.673,0.614,-5.426,0.362,176.052
In For The Kill,La Roux,0.629,0.969,-0.276,0.905,150.01
Uprising,Muse,0.602,0.905,-4.046,0.411,128.019
Gotta Be Somebody,Nickelback,0.536,0.89,-5.222,0.205,115.998
Broken Strings,James Morrison,0.57,0.717,-4.914,0.321,111.91
Whatever You Like,T.I.,0.68,0.687,-6.162,0.467,150.053
Holiday,Dizzee Rascal,0.545,0.918,-1.925,0.855,117.985
Single Ladies (Put a Ring on It),Beyoncé,0.426,0.584,-5.293,0.272,193.437
Love Drunk,Boys Like Girls,0.44,0.976,-3.17,0.412,150.005
Rockin' That Shit,The-Dream,0.672,0.62,-4.865,0.627,78.005
Secrets,OneRepublic,0.516,0.764,-6.223,0.376,148.021
Everybody in Love,JLS,0.705,0.783,-5.971,0.656,140.022
Big Green Tractor,Jason Aldean,0.616,0.596,-5.035,0.58,137.077
Never Say Never,The Fray,0.23,0.492,-5.767,0.262,160.139
The Fear,Lily Allen,0.661,0.847,-6.948,0.522,134.002
Sex on Fire,Kings of Leon,0.542,0.905,-5.653,0.374,153.398
Best I Ever Had,Drake,0.431,0.894,-2.673,0.605,162.161
Already Gone,Kelly Clarkson,0.209,0.872,-2.996,0.294,78.139
Party In The U.S.A.,Miley Cyrus,0.652,0.698,-4.667,0.47,96.021
Battlefield,Jordin Sparks,0.613,0.634,-3.472,0.37,144.953
Mad,Ne-Yo,0.731,0.644,-5.348,0.691,129.94
21 Guns,Green Day,0.268,0.742,-4.939,0.416,159.779
Knock You Down,Keri Hilson,0.588,0.877,-4.78,0.645,155.165
You Belong With Me,Taylor Swift,0.687,0.771,-4.424,0.445,129.964
Second Chance,Shinedown,0.46,0.796,-4.501,0.182,100.011
I Love College,Asher Roth,0.713,0.826,-4.075,0.664,86.444
Waking Up In Vegas,Katy Perry,0.524,0.878,-3.108,0.59,130.989
My Life Would Suck Without You,Kelly Clarkson,0.526,0.882,-4.006,0.424,144.982
Little Lion Man,Mumford & Sons,0.517,0.492,-8.05,0.455,138.585
You Found Me,The Fray,0.338,0.803,-5.412,0.4,151.994
Just the Way You Are,Bruno Mars,0.635,0.841,-5.379,0.424,109.021
Love The Way You Lie,Eminem,0.749,0.925,-5.034,0.641,86.989
Bad Romance,Lady Gaga,0.696,0.921,-3.755,0.714,119.001
Alors on danse - Radio Edit,Stromae,0.791,0.59,-9.206,0.714,119.951
TiK ToK,Kesha,0.755,0.837,-2.718,0.714,120.028
Memories (feat. Kid Cudi),David Guetta,0.546,0.916,-3.932,0.375,129.983
Dynamite,Taio Cruz,0.751,0.783,-3.724,0.816,119.975
Only Girl (In The World),Rihanna,0.789,0.716,-4.241,0.611,125.906
California Gurls,Katy Perry,0.791,0.754,-3.729,0.425,125.014
Take It Off,Kesha,0.729,0.675,-5.292,0.74,125.036
Hot - Play & Win Radio Version,INNA,0.817,0.939,-6.079,0.599,128.0
Like A G6,Far East Movement,0.435,0.837,-8.126,0.778,124.913
Gettin' Over You (feat. Fergie & LMFAO),David Guetta,0.615,0.913,-5.077,0.45,129.944
Barbra Streisand - Radio Edit,Duck Sauce,0.769,0.922,-1.966,0.506,127.965
Danza Kuduro (feat. Don Omar),Lucenzo,0.622,0.942,-6.365,0.773,130.003
Te Amo,Rihanna,0.567,0.707,-5.455,0.751,171.917
Carry Out (Featuring Justin Timberlake),Timbaland,0.531,0.574,-6.693,0.272,115.68
Gold Dust - Radio Edit,DJ Fresh,0.451,0.948,-0.74,0.295,176.985
Stereo Love - Radio Edit,Edward Maya,0.799,0.783,-3.896,0.586,127.041
Break Your Heart,Taio Cruz,0.607,0.934,-4.217,0.568,122.01
Imma Be,Black Eyed Peas,0.597,0.517,-6.963,0.412,92.035
Riverside,Sidney Samson,0.804,0.976,-2.458,0.237,125.997
Not Afraid,Eminem,0.855,0.954,-1.19,0.668,114.635
Alejandro,Lady Gaga,0.623,0.793,-6.63,0.36,98.998
Rude Boy,Rihanna,0.563,0.75,-4.496,0.812,173.906
Beautiful Monster,Ne-Yo,0.708,0.771,-6.99,0.494,128.013
Starstrukk,3OH!3,0.605,0.795,-6.086,0.263,139.896
The Time (Dirty Bit),Black Eyed Peas,0.816,0.813,-7.798,0.436,127.979
Commander,Kelly Rowland,0.395,0.876,-3.859,0.567,124.638
One (Your Name) - Radio Edit,Swedish House Mafia,0.733,0.673,-6.572,0.636,125.061
Deuces (feat. Tyga & Kevin McCall),Chris Brown,0.692,0.736,-5.109,0.217,73.987
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,0.663,0.861,-3.398,0.654,119.963
Replay,Iyaz,0.706,0.751,-6.323,0.195,91.031
Club Can't Handle Me (feat. David Guetta),Flo Rida,0.616,0.869,-3.911,0.473,127.966
Eenie Meenie,Sean Kingston,0.72,0.607,-4.168,0.828,121.223
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,0.76,0.595,-6.366,0.361,131.497
Written in the Stars (feat. Eric Turner),Tinie Tempah,0.656,0.931,-4.188,0.534,91.881
Talking to the Moon,Bruno Mars,0.498,0.59,-4.721,0.0784,145.867
Can't Be Tamed,Miley Cyrus,0.63,0.91,-2.919,0.743,116.98
Cooler Than Me - Single Mix,Mike Posner,0.768,0.82,-4.63,0.625,129.965
Telephone,Lady Gaga,0.824,0.836,-5.903,0.716,122.014
We No Speak Americano (JT Radio Edit),Yolanda Be Cool,0.901,0.805,-5.005,0.737,124.996
Hard,Rihanna,0.31,0.746,-3.599,0.163,182.032
Pass Out,Tinie Tempah,0.693,0.891,-3.261,0.532,91.1
Whataya Want from Me,Adam Lambert,0.438,0.672,-4.706,0.457,185.934
Bottoms Up (feat. Nicki Minaj),Trey Songz,0.845,0.601,-5.283,0.329,74.008
If We Ever Meet Again (Featuring Katy Perry),Timbaland,0.652,0.605,-7.371,0.394,126.091
I Like It,Enrique Iglesias,0.648,0.942,-2.881,0.73,129.007
Seek Bromance - Avicii’s Vocal Edit,Tim Berg,0.515,0.837,-2.552,0.52,126.026
OMG (feat. will.i.am),Usher,0.781,0.745,-5.81,0.326,129.998
Misery,Maroon 5,0.703,0.81,-4.874,0.726,102.978
Down,Jay Sean,0.657,0.695,-4.493,0.683,65.997
Man Down,Rihanna,0.47,0.904,-4.024,0.557,155.788
My First Kiss (feat. Ke$ha),3OH!3,0.682,0.889,-4.166,0.827,138.021
Baby,Justin Bieber,0.728,0.859,-5.237,0.535,65.043
Teach Me How to Dougie,Cali Swag District,0.846,0.438,-4.981,0.512,85.013
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,0.736,0.929,-5.89,0.658,125.03
Wavin' Flag,K'NAAN,0.625,0.699,-6.416,0.717,75.974
How Low,Ludacris,0.785,0.498,-6.977,0.418,143.96
Blah Blah Blah (feat. 3OH!3),Kesha,0.752,0.836,-3.173,0.519,120.003
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,0.544,0.781,-3.616,0.277,150.1
In My Head,Jason Derulo,0.762,0.748,-4.15,0.851,110.009
I Need A Dollar,Aloe Blacc,0.84,0.482,-7.116,0.957,95.498
Airplanes (feat. Hayley Williams of Paramore),B.o.B,0.66,0.867,-4.285,0.377,93.033
My Chick Bad,Ludacris,0.624,0.723,-6.782,0.757,84.789
Just A Dream,Nelly,0.531,0.752,-6.161,0.103,89.917
What's My Name?,Rihanna,0.692,0.786,-2.959,0.583,100.025
Impossible,Shontelle,0.599,0.624,-3.631,0.539,90.034
The Flood,Take That,0.514,0.83,-6.077,0.138,100.631
Say Aah (feat. Fabolous),Trey Songz,0.724,0.87,-3.614,0.81,93.01
Whatcha Say,Jason Derulo,0.615,0.711,-5.507,0.711,144.036
Over,Drake,0.325,0.848,-5.611,0.433,100.093
Kickstarts,Example,0.61,0.836,-4.455,0.657,126.056
She Said,Plan B,0.72,0.538,-5.85,0.815,147.007
Higher,The Saturdays,0.639,0.862,-3.292,0.596,117.011
Do You Remember,Jay Sean,0.855,0.668,-4.892,0.803,125.846
Hey Daddy (Daddy's Home),Usher,0.59,0.698,-4.262,0.352,95.975
Right Above It,Lil Wayne,0.376,0.841,-4.348,0.463,76.052
All Time Low,The Wanted,0.689,0.615,-5.022,0.783,134.036
Your Love Is My Drug,Kesha,0.826,0.612,-3.891,0.756,120.057
Starry Eyed,Ellie Goulding,0.504,0.814,-5.346,0.596,149.967
Find Your Love,Drake,0.625,0.613,-6.005,0.738,96.033
Ridin' Solo,Jason Derulo,0.442,0.83,-4.02,0.578,89.338
What You Know,Two Door Cinema Club,0.55,0.753,-4.003,0.841,139.048
Young Forever,JAY-Z,0.637,0.69,-3.214,0.103,140.329
BedRock,Young Money,0.733,0.664,-6.163,0.557,148.005
Nothin' on You (feat. Bruno Mars),B.o.B,0.688,0.853,-5.814,0.743,103.993
Teenage Dream,Katy Perry,0.719,0.798,-4.582,0.591,120.011
This Ain't a Love Song,Scouting For Girls,0.458,0.905,-4.157,0.553,176.667
Billionaire (feat. Bruno Mars),Travie McCoy,0.633,0.673,-6.403,0.659,86.776
Fireflies,Owl City,0.512,0.662,-6.797,0.472,180.114
Empire State of Mind (Part II) Broken Down,Alicia Keys,0.484,0.368,-7.784,0.142,92.923
Need You Now,Lady A,0.581,0.717,-4.433,0.316,107.884
Back To December,Taylor Swift,0.529,0.67,-4.663,0.286,141.893
Animal,Neon Trees,0.482,0.829,-5.576,0.739,147.99
Live Like We're Dying,Kris Allen,0.589,0.893,-2.948,0.94,92.011
When We Collide,Matt Cardle,0.443,0.683,-5.521,0.447,81.986
Dancing On My Own,Robyn,0.687,0.865,-4.663,0.261,117.015
If I Die Young,The Band Perry,0.606,0.497,-6.611,0.362,130.739
Magic (feat. Rivers Cuomo),B.o.B,0.549,0.932,-4.11,0.787,82.439
Rolling in the Deep,Adele,0.73,0.77,-5.114,0.507,104.948
