title,artist,danceability,energy,db,valence,bpm
In the End,Linkin Park,0.556,0.864,-5.87,0.4,105.143
The Ketchup Song (Aserejé) - Spanglish Version,Las Ketchup,0.607,0.923,-6.777,0.868,184.819
Rock The Boat,Aaliyah,0.641,0.72,-5.209,0.418,92.988
Kiss Kiss,Holly Valance,0.705,0.717,-4.944,0.554,97.036
Round Round,Sugababes,0.74,0.845,-3.802,0.749,126.607
Tainted Love,Marilyn Manson,0.622,0.876,-7.779,0.537,142.017
What About Us?,Brandy,0.686,0.698,-2.942,0.748,93.118
Hero (feat. Josey Scott),Chad Kroeger,0.427,0.843,-4.54,0.304,147.387
Overprotected - Radio Edit,Britney Spears,0.682,0.894,-1.73,0.845,95.992
The Logical Song,Scooter,0.527,0.933,-6.277,0.493,144.043
4 My People (feat. Eve),Missy Elliott,0.969,0.701,-7.503,0.905,121.392
More Than A Woman,Aaliyah,0.646,0.638,-5.803,0.74,86.994
Full Moon,Brandy,0.611,0.654,-4.823,0.609,105.922
One Love,Blue,0.683,0.722,-4.039,0.854,95.012
Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,Busta Rhymes,0.697,0.793,-4.699,0.56,89.767
A New Day Has Come - Radio Remix,Céline Dion,0.574,0.691,-5.103,0.195,91.969
Nessaja,Scooter,0.486,0.904,-6.642,0.118,143.048
Gangsta Lovin',Eve,0.723,0.84,-3.523,0.827,94.332
Move Bitch,Disturbing Tha Peace,0.777,0.751,-5.692,0.191,177.894
"My Neck, My Back (Lick It)",Khia,0.859,0.625,-4.234,0.71,102.072
Oops (Oh My) [feat. Missy Elliott],Tweet,0.66,0.536,-8.786,0.775,159.963
Spinning Around,Kylie Minogue,0.761,0.662,-7.645,0.631,120.043
Hot In Herre,Nelly,0.956,0.745,-4.753,0.912,107.075
Anyone of Us (Stupid Mistake),Gareth Gates,0.7,0.72,-6.061,0.654,106.986
Dirrty (feat. Redman),Christina Aguilera,0.64,0.889,-3.073,0.436,99.931
Uh Huh,B2K,0.855,0.681,-4.955,0.908,99.699
Freak Like Me,Sugababes,0.517,0.919,-3.451,0.387,91.868
Days Go By,Dirty Vegas,0.786,0.853,-8.274,0.309,126.99
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,0.835,0.707,-5.074,0.919,93.955
Just A Little,Liberty X,0.786,0.614,-6.554,0.742,103.887
Hella Good,No Doubt,0.771,0.665,-3.954,0.844,115.142
Luv U Better,LL Cool J,0.668,0.806,-3.9,0.721,95.022
Can't Stop,Red Hot Chili Peppers,0.618,0.938,-3.442,0.875,91.455
Halfcrazy,Musiq Soulchild,0.412,0.77,-6.057,0.418,101.955
Gimme the Light,Sean Paul,0.778,0.761,-5.529,0.923,107.288
I Love You,Faith Evans,0.489,0.757,-4.062,0.567,168.004
Down 4 U,Charli Baltimore,0.64,0.59,-7.442,0.519,83.133
Love at First Sight,Kylie Minogue,0.603,0.774,-6.066,0.48,124.994
Nothin',N.O.R.E.,0.791,0.863,-6.118,0.742,97.035
Unchained Melody,Gareth Gates,0.368,0.426,-8.049,0.208,106.52
I Need a Girl (Pt. 1) [feat. Usher & Loon],Diddy,0.66,0.707,-5.758,0.761,89.279
Nu Flow,Big Brovaz,0.783,0.726,-8.718,0.784,148.062
Hey Baby,No Doubt,0.705,0.872,-3.557,0.746,93.63
Baby,Ashanti,0.567,0.58,-5.757,0.46,157.596
Murder On The Dancefloor,Sophie Ellis-Bextor,0.734,0.848,-5.285,0.863,117.31
Like I Love You,Justin Timberlake,0.853,0.811,-4.927,0.9,114.964
Rainy Dayz,Mary J. Blige,0.412,0.667,-6.997,0.533,68.942
Caught in the Middle,A1,0.519,0.874,-5.122,0.572,96.072
Cleanin' Out My Closet,Eminem,0.908,0.758,-4.753,0.87,148.015
Happy,Ashanti,0.727,0.515,-6.553,0.695,89.488
Born to Try,Delta Goodrem,0.542,0.589,-6.813,0.336,133.838
Get the Party Started,P!nk,0.802,0.903,-3.267,0.96,128.93
A Woman's Worth,Alicia Keys,0.652,0.41,-8.323,0.495,75.09
Gotta Get Thru This - D'N'D Radio Edit,Daniel Bedingfield,0.838,0.764,-5.076,0.924,133.592
Clocks,Coldplay,0.577,0.749,-7.215,0.255,130.97
Work It,Missy Elliott,0.884,0.677,-5.603,0.584,101.868
If Tomorrow Never Comes,Ronan Keating,0.555,0.496,-6.136,0.27,79.01
Still Fly,Big Tymers,0.675,0.607,-3.538,0.56,177.928
My Sacrifice,Creed,0.32,0.88,-6.035,0.257,146.349
Always On Time,Ja Rule,0.839,0.706,-6.104,0.839,96.673
Foolish,Ashanti,0.665,0.695,-5.763,0.707,90.119
Sk8er Boi,Avril Lavigne,0.487,0.9,-4.417,0.484,149.937
Heaven,DJ Sammy,0.571,0.953,-5.601,0.601,137.965
"I'm Not a Girl, Not Yet a Woman",Britney Spears,0.534,0.543,-6.857,0.418,78.996
Oh Boy,Cam’ron,0.754,0.767,-5.586,0.828,83.014
By the Way,Red Hot Chili Peppers,0.451,0.97,-4.938,0.198,122.444
A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,0.597,0.97,-5.972,0.717,114.999
The Tide Is High - Radio Mix,Atomic Kitten,0.783,0.649,-4.127,0.665,103.997
Girlfriend,*NSYNC,0.745,0.807,-5.191,0.858,93.967
Somethin' Stupid,Robbie Williams,0.654,0.515,-12.185,0.677,106.191
Hands Clean,Alanis Morissette,0.513,0.82,-5.428,0.52,99.952
U Don't Have to Call,Usher,0.793,0.568,-4.958,0.806,100.005
One Last Breath - Radio Version,Creed,0.38,0.725,-6.094,0.202,130.581
Here Is Gone,The Goo Goo Dolls,0.338,0.685,-5.178,0.221,102.192
She Hates Me,Puddle Of Mudd,0.58,0.748,-5.433,0.584,109.781
Rollout (My Business),Ludacris,0.921,0.668,-8.73,0.892,131.059
Crossroads - Radio Edit,Blazin' Squad,0.661,0.746,-5.153,0.502,144.188
Wasting My Time,Default,0.443,0.769,-5.529,0.17,147.973
All You Wanted,Michelle Branch,0.499,0.72,-9.101,0.652,96.103
If You're Not The One,Daniel Bedingfield,0.688,0.538,-7.608,0.27,119.998
Escape,Enrique Iglesias,0.776,0.844,-5.305,0.868,125.972
Blurry,Puddle Of Mudd,0.432,0.936,-4.537,0.499,157.469
In My Place,Coldplay,0.424,0.588,-5.455,0.193,144.636
The Whole World (feat. Killer Mike),Outkast,0.814,0.852,-6.176,0.717,184.682
Don't Let Me Get Me - Radio Edit,P!nk,0.624,0.85,-4.754,0.615,98.525
In Da Club,50 Cent,0.899,0.713,-2.752,0.777,90.051
Get Busy,Sean Paul,0.735,0.824,-4.143,0.726,100.202
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,0.686,0.735,-4.616,0.0596,171.355
Crazy In Love (feat. Jay-Z),Beyoncé,0.646,0.77,-6.596,0.681,99.165
Big Yellow Taxi,Counting Crows,0.669,0.873,-4.315,0.827,88.029
Where Is The Love?,Black Eyed Peas,0.835,0.687,-3.18,0.828,94.059
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,Jennifer Lopez,0.845,0.768,-5.448,0.96,100.0
Shut Up,Black Eyed Peas,0.81,0.714,-3.966,0.561,112.968
All The Things She Said,t.A.T.u.,0.527,0.834,-5.767,0.381,179.92
Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,Benny Benassi,0.793,0.698,-3.626,0.339,130.017
I Know What You Want (feat. Flipmode Squad),Busta Rhymes,0.648,0.759,-4.315,0.518,85.996
Mundian to Bach Ke,Panjabi MC,0.778,0.879,-4.951,0.942,98.077
Scandalous - U.S. Radio Edit,Mis-Teeq,0.734,0.668,-3.935,0.651,99.971
03' Bonnie & Clyde,JAY-Z,0.759,0.678,-5.148,0.327,89.64
P.I.M.P.,50 Cent,0.712,0.772,-3.024,0.848,84.722
Superstar,Jamelia,0.801,0.645,-6.93,0.824,110.01
Faint,Linkin Park,0.554,0.978,-3.554,0.594,135.095
X Gon' Give It To Ya,DMX,0.761,0.899,-3.09,0.673,95.027
Bring Me To Life,Evanescence,0.331,0.943,-3.188,0.296,94.612
Hole In The Head,Sugababes,0.785,0.933,-4.629,0.962,125.011
Rise & Fall (feat. Sting),Craig David,0.405,0.589,-7.51,0.808,83.373
I Hate Everything About You,Three Days Grace,0.498,0.83,-5.157,0.453,89.342
Get Low,Lil Jon & The East Side Boyz,0.78,0.604,-8.019,0.12,101.043
"Bump, Bump, Bump (feat. P. Diddy)",B2K,0.835,0.68,-6.02,0.889,95.508
Suga Suga,Baby Bash,0.662,0.748,-3.041,0.535,82.331
Miss You - Main,Aaliyah,0.602,0.34,-9.867,0.511,109.598
